"ID","COD_EVASAO"
15550,"1"
15549,"1"
15544,"1"
15548,"1"
15547,"1"
16490,"1"
16497,"1"
16487,"1"
16488,"1"
16495,"1"
16492,"1"
16486,"1"
16587,"1"
16583,"1"
16585,"1"
16582,"1"
16576,"1"
16581,"1"
16134,"1"
16143,"1"
16131,"1"
16140,"1"
16139,"1"
16145,"1"
16137,"1"
16141,"1"
15376,"1"
15371,"1"
15380,"1"
15372,"1"
15377,"1"
15379,"1"
15370,"1"
15366,"1"
15473,"1"
15472,"1"
15469,"1"
15467,"1"
15464,"1"
15468,"1"
15466,"1"
15239,"1"
15241,"1"
15237,"1"
15229,"1"
15233,"1"
15234,"1"
15240,"1"
15231,"1"
16361,"1"
16364,"1"
16362,"1"
16360,"1"
16370,"1"
15875,"1"
15869,"1"
15870,"1"
15867,"1"
16498,"1"
16499,"1"
16503,"1"
16500,"1"
16502,"1"
16501,"1"
16509,"1"
15594,"1"
15585,"1"
15589,"1"
15587,"1"
15588,"1"
15042,"1"
15043,"1"
15044,"1"
15041,"1"
15036,"1"
15482,"1"
15489,"1"
15484,"1"
15481,"1"
15485,"1"
15924,"1"
15919,"1"
15917,"1"
15927,"1"
15920,"1"
16299,"1"
16301,"1"
16292,"1"
16304,"1"
16300,"1"
16302,"1"
16298,"1"
16420,"1"
16424,"1"
16426,"1"
16425,"1"
16427,"1"
16419,"1"
16414,"1"
15067,"1"
15073,"1"
15064,"1"
15063,"1"
15113,"1"
15109,"1"
15104,"1"
15108,"1"
15114,"1"
15112,"1"
16184,"1"
16187,"1"
16188,"1"
16181,"1"
16191,"1"
16185,"1"
16192,"1"
15426,"1"
15429,"1"
15425,"1"
15422,"1"
15434,"1"
15435,"1"
15421,"1"
15431,"1"
16340,"1"
16336,"1"
16332,"1"
16342,"1"
16341,"1"
16334,"1"
16338,"1"
16331,"1"
15830,"1"
15829,"1"
15828,"1"
15823,"1"
15825,"1"
16673,"1"
16681,"1"
16672,"1"
16670,"1"
16675,"1"
15323,"1"
15329,"1"
15319,"1"
15328,"1"
15318,"1"
15327,"1"
15322,"1"
15330,"1"
15449,"1"
15450,"1"
15452,"1"
15457,"1"
16037,"1"
16030,"1"
16038,"1"
16036,"1"
16105,"1"
16109,"1"
16106,"1"
16108,"1"
16701,"1"
16695,"1"
16700,"1"
16702,"1"
16704,"1"
16698,"1"
16127,"1"
16120,"1"
16130,"1"
16126,"1"
16119,"1"
16128,"1"
16122,"1"
15360,"1"
15363,"1"
15365,"1"
15362,"1"
15353,"1"
15358,"1"
15352,"1"
16720,"1"
16724,"1"
16726,"1"
16728,"1"
16730,"1"
16721,"1"
15782,"1"
15783,"1"
15772,"1"
15773,"1"
15777,"1"
15552,"1"
15555,"1"
15562,"1"
15554,"1"
15560,"1"
15577,"1"
15580,"1"
15581,"1"
15579,"1"
15294,"1"
15295,"1"
15291,"1"
15284,"1"
15292,"1"
15287,"1"
15288,"1"
15296,"1"
15025,"1"
15023,"1"
15029,"1"
15026,"1"
15031,"1"
15383,"1"
15384,"1"
15386,"1"
15385,"1"
15391,"1"
15392,"1"
15394,"1"
15396,"1"
15388,"1"
15803,"1"
15799,"1"
15800,"1"
15805,"1"
15912,"1"
15904,"1"
15914,"1"
15905,"1"
16061,"1"
16052,"1"
16064,"1"
16059,"1"
16280,"1"
16286,"1"
16279,"1"
16285,"1"
16282,"1"
16289,"1"
15967,"1"
15966,"1"
15963,"1"
15958,"1"
15964,"1"
15100,"1"
15089,"1"
15090,"1"
15093,"1"
15098,"1"
15091,"1"
16171,"1"
16169,"1"
16170,"1"
16176,"1"
16179,"1"
16177,"1"
16319,"1"
16315,"1"
16320,"1"
16318,"1"
16323,"1"
16324,"1"
16326,"1"
16322,"1"
15999,"1"
16002,"1"
15997,"1"
15998,"1"
16199,"1"
16203,"1"
16196,"1"
16197,"1"
16207,"1"
16200,"1"
16206,"1"
16208,"1"
15227,"1"
15219,"1"
15216,"1"
15220,"1"
15224,"1"
15221,"1"
15223,"1"
15840,"1"
15844,"1"
15843,"1"
15849,"1"
15340,"1"
15343,"1"
15344,"1"
15345,"1"
15347,"1"
15349,"1"
15338,"1"
16225,"1"
16228,"1"
16235,"1"
16234,"1"
16231,"1"
15569,"1"
15573,"1"
15566,"1"
15567,"1"
15572,"1"
15568,"1"
15571,"1"
16469,"1"
16459,"1"
16468,"1"
16464,"1"
16465,"1"
16466,"1"
16460,"1"
16462,"1"
16245,"1"
16249,"1"
16252,"1"
16247,"1"
16248,"1"
16243,"1"
16256,"1"
15784,"1"
15788,"1"
15785,"1"
15791,"1"
15608,"1"
15606,"1"
15597,"1"
15607,"1"
16385,"1"
16387,"1"
16390,"1"
16394,"1"
15879,"1"
15880,"1"
15883,"1"
15882,"1"
15881,"1"
16522,"1"
16512,"1"
16521,"1"
16517,"1"
16520,"1"
16524,"1"
16611,"1"
16620,"1"
16608,"1"
16614,"1"
16613,"1"
16609,"1"
16167,"1"
16153,"1"
16164,"1"
16165,"1"
16154,"1"
16157,"1"
16161,"1"
16156,"1"
15397,"1"
15399,"1"
15405,"1"
15401,"1"
15406,"1"
16395,"1"
16403,"1"
16402,"1"
16400,"1"
16404,"1"
16406,"1"
15948,"1"
15953,"1"
15946,"1"
15954,"1"
16086,"1"
16082,"1"
16088,"1"
16079,"1"
16089,"1"
15081,"1"
15078,"1"
15088,"1"
15087,"1"
15086,"1"
15075,"1"
15083,"1"
15074,"1"
15194,"1"
15187,"1"
15188,"1"
15196,"1"
15197,"1"
15200,"1"
15190,"1"
15192,"1"
15523,"1"
15526,"1"
15516,"1"
15517,"1"
15524,"1"
15519,"1"
15514,"1"
15521,"1"
16440,"1"
16433,"1"
16439,"1"
16441,"1"
16432,"1"
16435,"1"
16431,"1"
16548,"1"
16560,"1"
16555,"1"
16556,"1"
16552,"1"
16550,"1"
16549,"1"
15739,"1"
15740,"1"
15734,"1"
15737,"1"
16712,"1"
16714,"1"
16713,"1"
16717,"1"
16716,"1"
16709,"1"
15122,"1"
15125,"1"
15129,"1"
15123,"1"
15130,"1"
15133,"1"
15135,"1"
15447,"1"
15438,"1"
15446,"1"
15448,"1"
15441,"1"
15443,"1"
15532,"1"
15533,"1"
15531,"1"
15528,"1"
15530,"1"
15535,"1"
16093,"0"
16091,"0"
16102,"0"
16682,"1"
16691,"1"
16690,"1"
16683,"1"
16685,"1"
15851,"1"
15856,"1"
15853,"1"
15854,"1"
16594,"1"
16589,"1"
16590,"1"
16597,"1"
16592,"1"
16373,"1"
16381,"1"
16380,"1"
16378,"1"
16376,"1"
15301,"1"
15306,"1"
15309,"1"
15300,"1"
15302,"1"
15303,"1"
16474,"1"
16471,"1"
16478,"1"
16475,"1"
16476,"1"
16477,"1"
16481,"1"
15060,"1"
15049,"1"
15062,"1"
15054,"1"
15056,"1"
15051,"1"
15050,"1"
15053,"1"
15059,"1"
15748,"1"
15756,"1"
15746,"1"
15753,"1"
16268,"1"
16267,"1"
16273,"1"
16275,"1"
16278,"1"
16266,"1"
16272,"1"
